timestamp_utc,phase,workload_mode,command_id,process_cpu_percent,system_cpu_percent,process_memory_rss_mb,process_memory_vms_mb,system_memory_total_mb,system_memory_available_mb,system_memory_used_percent,gpu_available,gpu_name,gpu_utilisation_percent,gpu_memory_used_mb,gpu_memory_total_mb,npu_available,npu_name,npu_utilisation_percent,resource_profiler_status,notes
2026-05-11T09:57:18.736275Z,per_command,evidence_replay,C15,0.0,0.0,19.1,11.03,15720.25,1755.21,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.736275Z,per_command,evidence_replay,C16,0.0,0.0,19.11,11.03,15720.25,1755.21,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.736997Z,per_command,evidence_replay,C17,0.0,0.0,19.11,11.03,15720.25,1755.21,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.738273Z,per_command,evidence_replay,C18,0.0,0.0,19.11,11.03,15720.25,1755.24,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.738273Z,per_command,evidence_replay,C19,0.0,0.0,19.11,11.03,15720.25,1755.27,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.739272Z,per_command,evidence_replay,C20,0.0,0.0,19.11,11.03,15720.25,1755.27,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.739272Z,per_command,evidence_replay,C21,0.0,0.0,19.11,11.03,15720.25,1755.27,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.740462Z,per_command,evidence_replay,C22,0.0,0.0,19.11,11.03,15720.25,1755.27,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.741464Z,per_command,evidence_replay,C23,0.0,0.0,19.11,11.03,15720.25,1755.27,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.741464Z,per_command,evidence_replay,C24,0.0,0.0,19.11,11.03,15720.25,1755.27,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.742463Z,per_command,evidence_replay,C25,0.0,0.0,19.11,11.03,15720.25,1755.27,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.743463Z,per_command,evidence_replay,C26,0.0,0.0,19.12,11.03,15720.25,1755.27,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.743463Z,per_command,evidence_replay,C27,0.0,0.0,19.12,11.03,15720.25,1755.27,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.744463Z,per_command,evidence_replay,C28,0.0,0.0,19.12,11.03,15720.25,1755.27,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.744463Z,per_command,evidence_replay,C29,0.0,0.0,19.12,11.03,15720.25,1755.3,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.746005Z,per_command,evidence_replay,C30,0.0,0.0,19.12,11.03,15720.25,1755.3,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.747023Z,after_run,evidence_replay,,0.0,0.0,19.12,11.03,15720.25,1755.3,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
2026-05-11T09:57:18.748028Z,summary,evidence_replay,,0.0,0.0,19.13,11.03,15720.25,1755.3,88.8,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_DETECTED,NOT_AVAILABLE,NOT_AVAILABLE,PSUTIL_AVAILABLE,GPU/NPU counters are not queried unless measurable through a supported local backend
