run_id,workload_mode,command_id,command_text,model,backend,iteration,request_success,json_valid,latency_ms,cumulative_elapsed_ms,instantaneous_throughput_commands_per_min,rolling_mean_latency_ms,rolling_p95_latency_ms,process_cpu_percent,system_cpu_percent,process_memory_rss_mb,system_memory_used_percent,resource_profiler_status,notes
mode_d_20260511T095718Z,evidence_replay,C20,Transfer the gauze pack to a nearby tray,Phi-3-mini-4k-instruct-generic-cpu:3,local,20,True,False,9944.56,145625.98,8.24,7281.3,9325.64,0.0,0.0,19.11,88.8,PSUTIL_AVAILABLE,evidence replay workload; no new model call performed
mode_d_20260511T095718Z,evidence_replay,C21,Pick that,Phi-3-mini-4k-instruct-generic-cpu:3,local,21,True,True,5725.28,151351.26,8.33,7207.2,9293.07,0.0,0.0,19.11,88.8,PSUTIL_AVAILABLE,evidence replay workload; no new model call performed
mode_d_20260511T095718Z,evidence_replay,C22,Move it there,Phi-3-mini-4k-instruct-generic-cpu:3,local,22,True,True,5861.15,157212.41,8.4,7146.02,9277.38,0.0,0.0,19.11,88.8,PSUTIL_AVAILABLE,evidence replay workload; no new model call performed
mode_d_20260511T095718Z,evidence_replay,C23,Sort this out,Phi-3-mini-4k-instruct-generic-cpu:3,local,23,True,True,5642.46,162854.87,8.47,7080.65,9261.68,0.0,0.0,19.11,88.8,PSUTIL_AVAILABLE,evidence replay workload; no new model call performed
mode_d_20260511T095718Z,evidence_replay,C24,Get this ready,Phi-3-mini-4k-instruct-generic-cpu:3,local,24,True,True,6476.73,169331.6,8.5,7055.48,9245.99,0.0,0.0,19.11,88.8,PSUTIL_AVAILABLE,evidence replay workload; no new model call performed
mode_d_20260511T095718Z,evidence_replay,C25,Put it over there,Phi-3-mini-4k-instruct-generic-cpu:3,local,25,True,True,6137.23,175468.83,8.55,7018.75,9230.29,0.0,0.0,19.11,88.8,PSUTIL_AVAILABLE,evidence replay workload; no new model call performed
mode_d_20260511T095718Z,evidence_replay,C26,Move somewhere safe,Phi-3-mini-4k-instruct-generic-cpu:3,local,26,True,True,6415.28,181884.11,8.58,6995.54,9214.6,0.0,0.0,19.12,88.8,PSUTIL_AVAILABLE,evidence replay workload; no new model call performed
mode_d_20260511T095718Z,evidence_replay,C27,Choose the correct one,Phi-3-mini-4k-instruct-generic-cpu:3,local,27,True,True,8293.7,190177.81,8.52,7043.62,9198.91,0.0,0.0,19.12,88.8,PSUTIL_AVAILABLE,evidence replay workload; no new model call performed
mode_d_20260511T095718Z,evidence_replay,C28,Do it properly,Phi-3-mini-4k-instruct-generic-cpu:3,local,28,True,True,6198.2,196376.01,8.56,7013.43,9183.21,0.0,0.0,19.12,88.8,PSUTIL_AVAILABLE,evidence replay workload; no new model call performed
mode_d_20260511T095718Z,evidence_replay,C29,Move over,Phi-3-mini-4k-instruct-generic-cpu:3,local,29,True,True,5855.36,202231.37,8.6,6973.5,9167.52,0.0,0.0,19.12,88.8,PSUTIL_AVAILABLE,evidence replay workload; no new model call performed
mode_d_20260511T095718Z,evidence_replay,C30,Place it in the safe area,Phi-3-mini-4k-instruct-generic-cpu:3,local,30,True,False,8608.74,210840.11,8.54,7028.0,9151.82,0.0,0.0,19.12,88.8,PSUTIL_AVAILABLE,evidence replay workload; no new model call performed
