run_id,model_alias,benchmark_id,config_id,status,request_success_rate,parse_success_rate,json_valid_rate,schema_valid_rate,semantic_valid_rate,safety_valid_rate,execution_eligible_rate,model_false_accepts,pipeline_false_accepts,mean_latency_ms,std_latency_ms,notes
e0_1_live_run_01_20260512T015715Z,Phi-3-mini-4k-instruct-generic-cpu:3,benchmark_v1,foundry_phi_temperature_0_json_prompt,COMPLETE_LIVE_OUTPUT_REPEATABILITY,1.0,0.7333,0.7333,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,8164.26,2329.34,"Live Foundry Local repeatability run. Schema, semantic, safety and execution-eligibility metrics are not evaluated by this E0.1 runner. Raw rows: results/prototype5/mode_e0/e0_1_live_run_01_20260512T015715Z_raw.jsonl"
e0_1_live_run_02_20260512T020120Z,Phi-3-mini-4k-instruct-generic-cpu:3,benchmark_v1,foundry_phi_temperature_0_json_prompt,COMPLETE_LIVE_OUTPUT_REPEATABILITY,1.0,0.7333,0.7333,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,7644.35,1515.74,"Live Foundry Local repeatability run. Schema, semantic, safety and execution-eligibility metrics are not evaluated by this E0.1 runner. Raw rows: results/prototype5/mode_e0/e0_1_live_run_02_20260512T020120Z_raw.jsonl"
e0_1_live_run_03_20260512T020509Z,Phi-3-mini-4k-instruct-generic-cpu:3,benchmark_v1,foundry_phi_temperature_0_json_prompt,COMPLETE_LIVE_OUTPUT_REPEATABILITY,1.0,0.7333,0.7333,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,8043.13,1472.02,"Live Foundry Local repeatability run. Schema, semantic, safety and execution-eligibility metrics are not evaluated by this E0.1 runner. Raw rows: results/prototype5/mode_e0/e0_1_live_run_03_20260512T020509Z_raw.jsonl"
