run_id,model_alias,benchmark_id,config_id,status,commands_evaluated,request_success_rate,parse_success_rate,json_valid_rate,schema_valid_rate,semantic_valid_rate,safety_valid_rate,execution_eligible_rate,model_false_accepts,pipeline_false_accepts,correct_rejects,mean_latency_ms,std_latency_ms,schema_valid_minus_execution_eligible_gap,raw_output_file,notes
e0_4_full_pipeline_run_01_20260512T094618Z,Phi-3-mini-4k-instruct-generic-cpu:3,benchmark_v1,repo_local_action_envelope_temperature_0,COMPLETE_FULL_LIVE_PIPELINE_REPEATABILITY,30,1.0,0.8667,0.8667,0.8667,0.2,0.1,0.1,16,0,1,26434.28,10100.61,0.7667,results/prototype5/mode_e0/e0_4_full_pipeline_run_01_raw.jsonl,"Live Foundry Local action-envelope run evaluated through deterministic schema, semantic, safety and execution-eligibility gates."
e0_4_full_pipeline_run_02,Phi-3-mini-4k-instruct-generic-cpu:3,benchmark_v1,repo_local_action_envelope_temperature_0,COMPLETE_FULL_LIVE_PIPELINE_REPEATABILITY,30,1.0,0.8667,0.8667,0.8667,0.2,0.1,0.1,16,0,1,25676.98,18358.78,0.7667,results/prototype5/mode_e0/e0_4_full_pipeline_run_02_raw.jsonl,"Live Foundry Local action-envelope run evaluated through deterministic schema, semantic, safety and execution-eligibility gates."
e0_4_full_pipeline_run_03,Phi-3-mini-4k-instruct-generic-cpu:3,benchmark_v1,repo_local_action_envelope_temperature_0,COMPLETE_FULL_LIVE_PIPELINE_REPEATABILITY,30,1.0,0.8667,0.8667,0.8667,0.2,0.1,0.1,16,0,1,24020.29,18425.85,0.7667,results/prototype5/mode_e0/e0_4_full_pipeline_run_03_raw.jsonl,"Live Foundry Local action-envelope run evaluated through deterministic schema, semantic, safety and execution-eligibility gates."
