run_id,model_alias,benchmark_id,status,commands_evaluated,request_success_rate,parse_success_rate,json_valid_rate,schema_valid_rate,semantic_valid_rate,safety_valid_rate,execution_eligible_rate,model_false_accepts,pipeline_false_accepts,correct_rejects,false_rejects,mean_latency_ms,notes
e0_1_live_run_01_20260512T015715Z,Phi-3-mini-4k-instruct-generic-cpu:3,benchmark_v1,COMPLETE_PIPELINE_REPLAY_ON_MINIMAL_PROMPT_OUTPUTS,30,1.0,0.7333,0.7333,0.0,0.5667,0.0,0.0,0,0,17,0,8164.26,Offline deterministic validation replay over E0.1 live raw outputs; no new model calls.
e0_1_live_run_02_20260512T020120Z,Phi-3-mini-4k-instruct-generic-cpu:3,benchmark_v1,COMPLETE_PIPELINE_REPLAY_ON_MINIMAL_PROMPT_OUTPUTS,30,1.0,0.7333,0.7333,0.0,0.5667,0.0,0.0,0,0,17,0,7644.35,Offline deterministic validation replay over E0.1 live raw outputs; no new model calls.
e0_1_live_run_03_20260512T020509Z,Phi-3-mini-4k-instruct-generic-cpu:3,benchmark_v1,COMPLETE_PIPELINE_REPLAY_ON_MINIMAL_PROMPT_OUTPUTS,30,1.0,0.7333,0.7333,0.0,0.5667,0.0,0.0,0,0,17,0,8043.13,Offline deterministic validation replay over E0.1 live raw outputs; no new model calls.
